actors,awards,boxoffice,cntitle,country,doubanId,filetype,fileurl,genre,imdbid,movieid,omdbid,plot,poster,rating,runtime,source,timein,title,tmdbid,year
"Vin Diesel, Eiza González, Sam Heughan, Toby Kebbell",3 nominations.,,,"USA, China",,,,"Action, Drama, Sci-Fi",tt1634106,,,"Ray Garrison, a slain soldier, is re-animated with superpowers.",https://m.media-amazon.com/images/M/MV5BYjA5YjA2YjUtMGRlNi00ZTU4LThhZmMtNDc0OTg4ZWExZjI3XkEyXkFqcGdeQXVyNjUyNjI3NzU@._V1_SX300.jpg,5.7,109,,,Bloodshot,,2020
"Kaitlyn Dever, Beanie Feldstein, Jessica Williams, Jason Sudeikis",Nominated for 1 Golden Globe. Another 23 wins & 46 nominations.,,,USA,,,,Comedy,tt1489887,,,"On the eve of their high school graduation, two academic superstars and best friends realize they should have worked less and played more. Determined not to fall short of their peers, the girls try to cram four years of fun into one night.",https://m.media-amazon.com/images/M/MV5BMjEzMjcxNjA2Nl5BMl5BanBnXkFtZTgwMjAxMDM2NzM@._V1_SX300.jpg,7.2,102,,,Booksmart,,2019
"Hailee Steinfeld, Jorge Lendeborg Jr., John Cena, Jason Drucker",2 wins & 11 nominations.,,,"China, USA",,,,"Action, Adventure, Sci-Fi",tt4701182,,,"On the run in the year 1987, Bumblebee finds refuge in a junkyard in a small California beach town. On the cusp of turning 18 and trying to find her place in the world, Charlie Watson discovers Bumblebee, battle-scarred and broken.",https://m.media-amazon.com/images/M/MV5BMjUwNjU5NDMyNF5BMl5BanBnXkFtZTgwNzgxNjM2NzM@._V1_SX300.jpg,6.8,114,,,Bumblebee,,2018
"Zain Al Rafeea, Yordanos Shiferaw, Boluwatife Treasure Bankole, Kawsar Al Haddad",Nominated for 1 Oscar. Another 34 wins & 46 nominations.,,,"Lebanon, USA, France, Cyprus, Qatar, UK",,,,Drama,tt8267604,,,"While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect.",https://m.media-amazon.com/images/M/MV5BMmExNzU2ZWMtYzUwYi00YmM2LTkxZTQtNmVhNjY0NTMyMWI2XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,8.4,126,,,Capernaum,,2018
"Brie Larson, Samuel L. Jackson, Ben Mendelsohn, Jude Law",7 wins & 46 nominations.,,,"USA, Australia",,,,"Action, Adventure, Sci-Fi",tt4154664,,,Carol Danvers becomes one of the universe's most powerful heroes when Earth is caught in the middle of a galactic war between two alien races.,https://m.media-amazon.com/images/M/MV5BMTE0YWFmOTMtYTU2ZS00ZTIxLWE3OTEtYTNiYzBkZjViZThiXkEyXkFqcGdeQXVyODMzMzQ4OTI@._V1_SX300.jpg,6.9,123,,,Captain Marvel,,2019
"Michael B. Jordan, Sylvester Stallone, Tessa Thompson, Phylicia Rashad",1 win & 12 nominations.,,,USA,,,,"Drama, Sport",tt6343314,,,"Under the tutelage of Rocky Balboa, newly crowned heavyweight champion Adonis Creed faces off against Viktor Drago, the son of Ivan Drago.",https://m.media-amazon.com/images/M/MV5BMTcxMjUwNjQ5N15BMl5BanBnXkFtZTgwNjk4MzI4NjM@._V1_SX300.jpg,7.1,130,,,Creed II,,2018
"James McAvoy, Michael Fassbender, Jennifer Lawrence, Nicholas Hoult",13 nominations.,,,"USA, Canada",,,,"Action, Adventure, Sci-Fi",tt6565702,,,"Jean Grey begins to develop incredible powers that corrupt and turn her into a Dark Phoenix, causing the X-Men to decide if her life is worth more than all of humanity.",https://m.media-amazon.com/images/M/MV5BMmZmYTgwZGItNDIxMS00MmRkLWEzODQtYTllNzM0ZWE1NmQ5XkEyXkFqcGdeQXVyODQzNTE3ODc@._V1_SX300.jpg,5.8,113,,,Dark Phoenix,,2019
"Mark Ruffalo, Anne Hathaway, Tim Robbins, Bill Pullman",4 nominations.,,,USA,,,,"Biography, Drama, History, Thriller",tt9071322,,,A corporate defense attorney takes on an environmental lawsuit against a chemical company that exposes a lengthy history of pollution.,https://m.media-amazon.com/images/M/MV5BODQ0M2Y5M2QtZGIwMC00MzJjLThlMzYtNmE3ZTMzZTYzOGEwXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,7.6,126,,,Dark Waters,,2019
"Benicio Del Toro, Madelyn Miranda, Dee Bradley Baker, Malachi Barton",1 win & 1 nomination.,,,"USA, Mexico, Australia",,,,"Adventure, Comedy, Family, Mystery",tt7547410,,,"Dora, a teenage explorer, leads her friends on an adventure to save her parents and solve the mystery behind a lost city of gold.",https://m.media-amazon.com/images/M/MV5BOTVhMzYxNjgtYzYwOC00MGIwLWJmZGEtMjgwMzgxMWUwNmRhXkEyXkFqcGdeQXVyNjg2NjQwMDQ@._V1_SX300.jpg,6.0,102,,,Dora And The Lost City Of Gold,,2019
"Colin Farrell, Michael Keaton, Danny DeVito, Eva Green",3 wins & 12 nominations.,,,"USA, UK, Australia, Canada",,,,"Adventure, Family, Fantasy",tt3861390,,,"A young elephant, whose oversized ears enable him to fly, helps save a struggling circus, but when the circus plans a new venture, Dumbo and his friends discover dark secrets beneath its shiny veneer.",https://m.media-amazon.com/images/M/MV5BNjMxMDE0MDI1Ml5BMl5BanBnXkFtZTgwMzExNTU3NjM@._V1_SX300.jpg,6.3,112,,,Dumbo,,2019
"Anya Taylor-Joy, Angus Imrie, Letty Thomas, Gemma Whelan",,,,UK,,,,"Comedy, Drama",tt9214832,,,"In 1800s England, a well meaning but selfish young woman meddles in the love lives of her friends.",https://m.media-amazon.com/images/M/MV5BOGRiODEzM2QtOTUyYi00MWRlLTg4MzMtZGI0YmUzNWUyMjQ0XkEyXkFqcGdeQXVyMDA4NzMyOA@@._V1_SX300.jpg,6.8,124,,,Emma.,,2020
"Dwayne Johnson, Jason Statham, Idris Elba, Vanessa Kirby",1 win & 20 nominations.,,,"USA, Japan",,,,"Action, Adventure, Thriller",tt6806448,,,"Lawman Luke Hobbs (Dwayne ""The Rock"" Johnson) and outcast Deckard Shaw (Jason Statham) form an unlikely alliance when a cyber-genetically enhanced villain threatens the future of humanity.",https://m.media-amazon.com/images/M/MV5BOTIzYmUyMmEtMWQzNC00YzExLTk3MzYtZTUzYjMyMmRiYzIwXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_SX300.jpg,6.4,137,,,Fast & Furious Presents Hobbs & Shaw,,2019
"Matt Damon, Christian Bale, Jon Bernthal, Caitriona Balfe",Won 2 Oscars. Another 21 wins & 73 nominations.,,,USA,,,,"Action, Biography, Drama, Sport",tt1950186,,,American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.,https://m.media-amazon.com/images/M/MV5BM2UwMDVmMDItM2I2Yi00NGZmLTk4ZTUtY2JjNTQ3OGQ5ZjM2XkEyXkFqcGdeQXVyMTA1OTYzOTUx._V1_SX300.jpg,8.1,152,,,Ford V Ferrari,,2019
"Kristen Bell, Idina Menzel, Josh Gad, Jonathan Groff",Nominated for 1 Oscar. Another 15 wins & 71 nominations.,,,USA,,,,"Animation, Adventure, Comedy, Family, Fantasy, Musical",tt4520988,,,"Anna, Elsa, Kristoff, Olaf and Sven leave Arendelle to travel to an ancient, autumn-bound forest of an enchanted land. They set out to find the origin of Elsa's powers in order to save their kingdom.",https://m.media-amazon.com/images/M/MV5BMjA0YjYyZGMtN2U0Ni00YmY4LWJkZTItYTMyMjY3NGYyMTJkXkEyXkFqcGdeQXVyNDg4NjY5OTQ@._V1_SX300.jpg,6.9,103,,,Frozen II,,2019
"James McAvoy, Bruce Willis, Samuel L. Jackson, Anya Taylor-Joy",2 wins & 14 nominations.,,,"USA, China",,,,"Drama, Sci-Fi, Thriller",tt6823368,,,"Security guard David Dunn uses his supernatural abilities to track Kevin Wendell Crumb, a disturbed man who has twenty-four personalities.",https://m.media-amazon.com/images/M/MV5BMTY1OTA2MjI5OV5BMl5BanBnXkFtZTgwNzkxMjU4NjM@._V1_SX300.jpg,6.7,129,,,Glass,,2019
"Viggo Mortensen, Mahershala Ali, Linda Cardellini, Sebastian Maniscalco",Won 3 Oscars. Another 54 wins & 120 nominations.,,,"USA, China",,,,"Biography, Comedy, Drama, Music",tt6966692,,,A working-class Italian-American bouncer becomes the driver of an African-American classical pianist on a tour of venues through the 1960s American South.,https://m.media-amazon.com/images/M/MV5BYzIzYmJlYTYtNGNiYy00N2EwLTk4ZjItMGYyZTJiOTVkM2RlXkEyXkFqcGdeQXVyODY1NDk1NjE@._V1_SX300.jpg,8.2,130,,,Green Book,,2018
"Jay Baruchel, America Ferrera, F. Murray Abraham, Cate Blanchett",Nominated for 1 Oscar. Another 5 wins & 57 nominations.,,驯龙高手3,"USA, Japan",,,,"Animation, Action, Adventure, Family, Fantasy",tt2386490,,,"When Hiccup discovers Toothless isn't the only Night Fury, he must seek ""The Hidden World"", a secret Dragon Utopia before a hired tyrant named Grimmel finds it first.",https://m.media-amazon.com/images/M/MV5BMjIwMDIwNjAyOF5BMl5BanBnXkFtZTgwNDE1MDc2NTM@._V1_SX300.jpg,7.5,104,,,How To Train Your Dragon,,2019
"Ethan Baird, Jacob Scipio, Dempsey Bovell, Corey Johnson",1 win.,,,"UK, China, France, USA",,,,"Action, Adventure, Thriller",tt1846589,,,"An untested American submarine captain teams with U.S. Navy Seals to rescue the Russian president, who has been kidnapped by a rogue general.",https://m.media-amazon.com/images/M/MV5BYjRkNzQ0NmYtZmQyMS00Yzk5LWEzZjQtYzhlOTRlMzVjMzA3XkEyXkFqcGdeQXVyMjM4NTM5NDY@._V1_SX300.jpg,6.6,121,,,Hunter Killer,,2018
"Rose Byrne, Maddie Lenton, Luke Hawker, Summer Lenton",4 wins & 4 nominations.,,吾乃母亲,Australia,,,,"Drama, Mystery, Sci-Fi, Thriller",tt6292852,,,"In the wake of humanity's extinction, a teenage girl is raised by a robot designed to repopulate the earth. But their unique bond is threatened when an inexplicable stranger arrives with alarming news.",https://m.media-amazon.com/images/M/MV5BMTkxMTczNTA4Nl5BMl5BanBnXkFtZTgwNDAyMzgwODM@._V1_SX300.jpg,6.7,113,,,I Am Mother,,2019
"Mark Wahlberg, Rose Byrne, Isabela Merced, Gustavo Escobar",2 wins & 5 nominations.,,速成家庭,USA,,,,"Comedy, Drama",tt7401588,,,A couple find themselves in over their heads when they foster three children.,https://m.media-amazon.com/images/M/MV5BMTkzMzgzMTc1OF5BMl5BanBnXkFtZTgwNjQ4MzE0NjM@._V1_SX300.jpg,7.3,118,,,Instant Family,,2018
"Joaquin Phoenix, Robert De Niro, Zazie Beetz, Frances Conroy",Won 2 Oscars. Another 92 wins & 199 nominations.,,,"USA, Canada",,,,"Crime, Drama, Thriller",tt7286456,,,"In Gotham City, mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: the Joker.",https://m.media-amazon.com/images/M/MV5BNGVjNWI4ZGUtNzE0MS00YTJmLWE0ZDctN2ZiYTk2YmI3NTYyXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,8.5,122,,,Joker,,2019
"Keanu Reeves, Halle Berry, Ian McShane, Laurence Fishburne",12 wins & 27 nominations.,,,USA,,,,"Action, Crime, Thriller",tt6146586,,,"John Wick is on the run after killing a member of the international assassins' guild, and with a $14 million price tag on his head, he is the target of hit men and women everywhere.",https://m.media-amazon.com/images/M/MV5BMDg2YzI0ODctYjliMy00NTU0LTkxODYtYTNkNjQwMzVmOTcxXkEyXkFqcGdeQXVyNjg2NjQwMDQ@._V1_SX300.jpg,7.5,130,,,John Wick,,2019
"Dwayne Johnson, Kevin Hart, Jack Black, Karen Gillan",1 win & 5 nominations.,,,USA,,,,"Action, Adventure, Comedy, Fantasy",tt7975244,,,"In Jumanji: The Next Level, the gang is back but the game has changed. As they return to rescue one of their own, the players will have to brave parts unknown from arid deserts to snowy mountains, to escape the world's most dangerous game.",https://m.media-amazon.com/images/M/MV5BOTVjMmFiMDUtOWQ4My00YzhmLWE3MzEtODM1NDFjMWEwZTRkXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,6.7,123,,,Jumanji The Next Level,,2019
"Kevin Spacey, Russell Crowe, Guy Pearce, James Cromwell",Won 2 Oscars. Another 89 wins & 84 nominations.,,,USA,,,,"Crime, Drama, Mystery, Thriller",tt0119488,,,"As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice.",https://m.media-amazon.com/images/M/MV5BMDQ2YzEyZGItYWRhOS00MjBmLTkzMDUtMTdjYzkyMmQxZTJlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,8.2,138,,,LA Confidential,,1997
"Saoirse Ronan, Emma Watson, Florence Pugh, Eliza Scanlen",Won 1 Oscar. Another 72 wins & 185 nominations.,,,USA,,,,"Drama, Romance",tt3281548,,,"Jo March reflects back and forth on her life, telling the beloved story of the March sisters - four young women, each determined to live life on her own terms.",https://m.media-amazon.com/images/M/MV5BY2QzYTQyYzItMzAwYi00YjZlLThjNTUtNzMyMDdkYzJiNWM4XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,7.9,135,,,Little Women,,2019
"Adam Driver, Scarlett Johansson, Julia Greer, Azhy Robertson",Won 1 Oscar. Another 122 wins & 246 nominations.,,,"UK, USA",,,,"Comedy, Drama, Romance",tt7653254,,,Noah Baumbach's incisive and compassionate look at a marriage breaking up and a family staying together.,https://m.media-amazon.com/images/M/MV5BZGVmY2RjNDgtMTc3Yy00YmY0LTgwODItYzBjNWJhNTRlYjdkXkEyXkFqcGdeQXVyMjM4NTM5NDY@._V1_SX300.jpg,8.0,137,,,Marriage Story,,2019
"Emily Blunt, Lin-Manuel Miranda, Ben Whishaw, Emily Mortimer",Nominated for 4 Oscars. Another 20 wins & 103 nominations.,,,"USA, UK",,,,"Comedy, Family, Fantasy, Musical",tt5028340,,,"A few decades after her original visit, Mary Poppins, the magical nanny, returns to help the Banks siblings and Michael's children through a difficult time in their lives.",https://m.media-amazon.com/images/M/MV5BMjQxNjE3NjYxN15BMl5BanBnXkFtZTgwMTk2NDQ3NjM@._V1_SX300.jpg,6.7,130,,,Mary Poppins Returns,,2018
"Kang-ho Song, Sang-kyung Kim, Roe-ha Kim, Jae-ho Song",26 wins & 3 nominations.,,,South Korea,,,,"Action, Crime, Drama, Mystery, Thriller",tt0353969,,,"In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit.",https://m.media-amazon.com/images/M/MV5BMzhlNGJhYzUtZTNiMi00MjI0LWFjN2MtOTVlN2IxODVkZWVkXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,8.1,132,,,Memories of Murder,,2003
"Chris Hemsworth, Tessa Thompson, Kumail Nanjiani, Rebecca Ferguson",9 nominations.,,,"China, USA",,,,"Action, Adventure, Comedy, Sci-Fi",tt2283336,,,"The Men in Black have always protected the Earth from the scum of the universe. In this new adventure, they tackle their biggest threat to date: a mole in the Men in Black organization.",https://m.media-amazon.com/images/M/MV5BMDZkODI2ZGItYTY5Yi00MTA4LWExY2ItM2ZmNjczYjM0NDg1XkEyXkFqcGdeQXVyMzY0MTE3NzU@._V1_SX300.jpg,5.6,114,,,Men in Black,,2019
"Adriana Ugarte, Chino Darín, Javier Gutiérrez, Álvaro Morte",2 nominations.,,,Spain,,,,"Drama, Mystery, Romance, Thriller",tt6908274,,,Two storms separated by 25 years. A woman murdered. A daughter missed. Only 72 hours to discover the truth.,https://m.media-amazon.com/images/M/MV5BMDFkMmZjZDItNTQ4Ny00MWY0LTg5ZjMtOWQ5Y2EyZThmM2MwXkEyXkFqcGdeQXVyNzI1NzMxNzM@._V1_SX300.jpg,7.4,128,,,Mirage,,2018
"Tom Cruise, Henry Cavill, Ving Rhames, Simon Pegg",Nominated for 1 BAFTA Film Award. Another 23 wins & 39 nominations.,,,"USA, China, France, Norway, UK",,,,"Action, Adventure, Thriller",tt4912910,,,"Ethan Hunt and his IMF team, along with some familiar allies, race against time after a mission gone wrong.",https://m.media-amazon.com/images/M/MV5BNjRlZmM0ODktY2RjNS00ZDdjLWJhZGYtNDljNWZkMGM5MTg0XkEyXkFqcGdeQXVyNjAwMjI5MDk@._V1_SX300.jpg,7.7,147,,,Mission Impossible Fallout,,2018
"Brad Pitt, Jonah Hill, Philip Seymour Hoffman, Robin Wright",Nominated for 6 Oscars. Another 30 wins & 75 nominations.,75605488.0,,USA,,,,"Biography, Drama, Sport",tt1210166,,,Oakland A's general manager Billy Beane's successful attempt to assemble a baseball team on a lean budget by employing computer-generated analysis to acquire new players.,https://m.media-amazon.com/images/M/MV5BMjAxOTU3Mzc1M15BMl5BanBnXkFtZTcwMzk1ODUzNg@@._V1_SX300.jpg,7.6,133,,,Moneyball,,2011
"Jung-jae Lee, Min-sik Choi, Jung-min Hwang, Sung-woong Park",8 wins & 15 nominations.,296512.0,,South Korea,,,,"Action, Crime, Drama, Thriller",tt2625030,,,An undercover cop finds it difficult to play both a cop and a goon.,https://m.media-amazon.com/images/M/MV5BMTYxODg5ODMxOV5BMl5BanBnXkFtZTcwNzkwMzYyOQ@@._V1_SX300.jpg,7.6,135,,,New World,,2013
"Leonardo DiCaprio, Brad Pitt, Margot Robbie, Emile Hirsch",Won 2 Oscars. Another 126 wins & 344 nominations.,,,"USA, UK, China",,,,"Comedy, Drama",tt7131622,,,A faded television actor and his stunt double strive to achieve fame and success in the final years of Hollywood's Golden Age in 1969 Los Angeles.,https://m.media-amazon.com/images/M/MV5BOTg4ZTNkZmUtMzNlZi00YmFjLTk1MmUtNWQwNTM0YjcyNTNkXkEyXkFqcGdeQXVyNjg2NjQwMDQ@._V1_SX300.jpg,7.7,161,,,Once Upon A Time... In Hollywood,,2019
"Tom Holland, Chris Pratt, Julia Louis-Dreyfus, Octavia Spencer",1 win.,,,USA,,,,"Animation, Adventure, Comedy, Family, Fantasy",tt7146812,,,Two elven brothers embark on a quest to bring their father back for one day.,https://m.media-amazon.com/images/M/MV5BMTZlYzk3NzQtMmViYS00YWZmLTk5ZTEtNWE0NGVjM2MzYWU1XkEyXkFqcGdeQXVyNDg4NjY5OTQ@._V1_SX300.jpg,7.5,102,,,Onward,,2020
"Kang-ho Song, Sun-kyun Lee, Yeo-jeong Jo, Woo-sik Choi",Won 4 Oscars. Another 263 wins & 227 nominations.,,,South Korea,,,,"Comedy, Drama, Thriller",tt6751668,,,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,https://m.media-amazon.com/images/M/MV5BYWZjMjk3ZTItODQ2ZC00NTY5LWE0ZDYtZTI3MjcwN2Q5NTVkXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_SX300.jpg,8.6,132,,,Parasite,,2019
"Ryan Reynolds, Justice Smith, Kathryn Newton, Bill Nighy",8 nominations.,,大侦探皮卡丘,"USA, Japan, UK, Canada",,,,"Adventure, Comedy, Family, Mystery, Sci-Fi",tt5884052,,,"In a world where people collect Pokémon to do battle, a boy comes across an intelligent talking Pikachu who seeks to be a detective.",https://m.media-amazon.com/images/M/MV5BNDU4Mzc3NzE5NV5BMl5BanBnXkFtZTgwMzE1NzI1NzM@._V1_SX300.jpg,6.6,104,,,Pokémon Detective Pikachu,,2019
"John C. Reilly, Sarah Silverman, Gal Gadot, Taraji P. Henson",Nominated for 1 Oscar. Another 3 wins & 63 nominations.,,无敌破坏王2,USA,,,,"Animation, Adventure, Comedy, Family, Fantasy",tt5848272,,,"Six years after the events of ""Wreck-It Ralph,"" Ralph and Vanellope, now friends, discover a wi-fi router in their arcade, leading them into a new adventure.",https://m.media-amazon.com/images/M/MV5BMTYyNzEyNDAzOV5BMl5BanBnXkFtZTgwNTk3NDczNjM@._V1_SX300.jpg,7.1,112,,,Ralph Breaks the Internet,,2018
"Patton Oswalt, Kevin Hart, Harrison Ford, Eric Stonestreet",11 nominations.,,,"USA, France, Japan",,,,"Animation, Adventure, Comedy, Family",tt5113040,,,"Continuing the story of Max and his pet friends, following their secret lives after their owners leave them for work or school each day.",https://m.media-amazon.com/images/M/MV5BMzdlMWQzZmItMDA5Ny00MGFjLTk0MDAtYjgzMmMyNTEwMzdhXkEyXkFqcGdeQXVyODQzNTE3ODc@._V1_SX300.jpg,6.5,86,,,Secret Life of Pets,,2019
"Zachary Levi, Mark Strong, Asher Angel, Jack Dylan Grazer",21 nominations.,,,"USA, Canada",,,,"Action, Adventure, Comedy, Fantasy",tt0448115,,,A newly fostered young boy in search of his mother instead finds unexpected super powers and soon gains a powerful enemy.,https://m.media-amazon.com/images/M/MV5BYTE0Yjc1NzUtMjFjMC00Y2I3LTg3NGYtNGRlMGJhYThjMTJmXkEyXkFqcGdeQXVyNTI4MzE4MDU@._V1_SX300.jpg,7.1,132,,,Shazam,,2019
"Ben Schwartz, James Marsden, Jim Carrey, Tika Sumpter",1 nomination.,,,"USA, Japan, Canada",,,,"Action, Adventure, Comedy, Family, Sci-Fi",tt3794354,,,"After discovering a small, blue, fast hedgehog, a small-town police officer must help him defeat an evil genius who wants to do experiments on him.",https://m.media-amazon.com/images/M/MV5BMDk5Yzc4NzMtODUwOS00NTdhLTg2MjEtZTkzZjc0ZWE2MzAwXkEyXkFqcGdeQXVyMTA3MTA4Mzgw._V1_SX300.jpg,6.6,99,,,Sonic The Hedgehog,,2020
"Tom Holland, Samuel L. Jackson, Jake Gyllenhaal, Marisa Tomei",9 wins & 21 nominations.,,,USA,,,,"Action, Adventure, Sci-Fi",tt6320628,,,"Following the events of Avengers: Endgame (2019), Spider-Man must step up to take on new threats in a world that has changed forever.",https://m.media-amazon.com/images/M/MV5BMGZlNTY1ZWUtYTMzNC00ZjUyLWE0MjQtMTMxN2E3ODYxMWVmXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_SX300.jpg,7.5,129,,,Spider-man Far From Home,,2019
